State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.85220	1.82526	1.83937	1.82654	1.86759	1.88811	1.85348	1.94455	1.96764	1.94711	1.97149	1.91505	1.80089	1.90992	1.91890	1.92531	1.87528	1.90350	1.88939	1.89966	1.85604
2	1.66243	1.64165	1.61197	1.65056	1.72477	1.81680	1.87618	1.93852	1.97117	2.00086	1.99789	2.00679	2.00383	1.89696	1.88508	1.84946	1.83461	1.75446	1.79305	1.80196	1.80196
3	3.98908	3.92387	3.86952	3.62496	3.46735	3.24996	3.34779	3.25540	3.17387	2.93475	2.72279	2.72279	2.86410	2.77714	2.75540	2.71736	2.81518	2.83692	2.83692	2.94562	2.96192
4	2.68406	2.55428	2.42450	2.44220	2.38321	2.40090	2.19444	2.07646	2.12955	2.00567	1.94668	1.87589	1.75791	1.63403	1.66942	1.68122	1.77561	1.78741	1.75201	1.71662	1.60454
5	0.71892	0.70913	0.71472	0.68535	0.65318	0.65458	0.65598	0.67276	0.62940	0.61262	0.59024	0.56087	0.53569	0.54129	0.51891	0.53149	0.50632	0.51331	0.52590	0.53010	0.54828
6	1.12399	1.11708	1.08946	1.06529	1.06960	1.03939	1.03766	1.02557	1.02816	1.02989	1.02557	1.03075	1.03766	1.01349	1.01349	1.01349	0.99709	0.99191	0.98500	0.98155	0.99104
7	3.63270	3.64268	3.65465	3.67162	3.66363	3.65266	3.62371	3.59078	3.55136	3.51094	3.45056	3.39867	3.33829	3.29438	3.23001	3.16813	3.10725	3.03540	2.98300	2.91214	2.83979
8	1.04065	1.04648	1.04921	1.05291	1.05459	1.05988	1.06509	1.06500	1.06941	1.08379	1.09711	1.11007	1.12718	1.13865	1.15153	1.16441	1.17728	1.18893	1.19863	1.20877	1.22315
9	0.36648	0.36698	0.36765	0.36748	0.36681	0.36681	0.36690	0.36732	0.36841	0.36925	0.36984	0.36950	0.36891	0.36967	0.37009	0.37042	0.37067	0.37126	0.37219	0.37210	0.37227
10	1.88273	1.79134	1.76696	1.85227	1.88273	1.79743	1.93757	1.99240	2.12036	2.05333	2.14473	2.32143	2.49203	2.25440	2.18738	2.04724	2.16910	2.19957	2.12036	2.14473	2.18129
