State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.99713	2.22469	2.55981	2.99569	3.74066	4.61355	5.65061	6.23480	5.78647	6.18499	6.61181	4.81734	4.56487	4.45165	4.35655	3.91727	3.29685	2.80776	2.35602	2.01185	1.75938
2	1.75557	1.88659	1.98354	2.06738	2.18268	2.31369	2.52593	2.59144	2.65432	2.28225	1.96519	2.04118	1.77916	1.56167	1.46997	1.50141	1.52499	1.48831	1.54595	1.51451	1.53547
3	4.41799	5.05119	6.27920	8.08286	11.41194	17.12510	26.55590	39.52684	52.43543	56.74788	58.19176	66.38495	63.43003	53.60109	38.35639	24.38288	15.50373	10.26067	6.97956	5.19030	3.92390
4	5.72745	6.59177	7.56544	8.86192	9.80956	9.60129	7.45610	4.63923	2.95224	2.19205	2.12436	2.55132	4.56113	11.83499	22.64945	30.46482	31.45410	28.46021	24.58116	21.05097	18.09874
5	1.60366	1.47280	1.27651	1.02096	0.75800	0.58023	0.49011	0.44320	0.41974	0.40740	0.40863	0.40863	0.41851	0.44320	0.50986	0.78763	1.42218	2.25920	3.13695	3.80977	4.32951
6	1.47365	1.41346	1.32050	1.18334	0.99666	0.77416	0.61339	0.51433	0.45033	0.42137	0.40994	0.41451	0.43966	0.47547	0.63548	0.99437	1.54756	2.06799	2.46345	2.75148	2.95264
7	0.79499	0.76152	0.73685	0.69501	0.66286	0.61529	0.55275	0.50606	0.46202	0.44352	0.43427	0.44044	0.45409	0.47832	0.51091	0.57962	0.64392	0.71615	0.78310	0.85401	0.92933
8	1.41859	1.39858	1.36744	1.32595	1.24731	1.13575	0.97685	0.79513	0.66130	0.58531	0.55246	0.55635	0.59559	0.64783	0.71058	0.78104	0.84379	0.88544	0.91666	0.93807	0.95357
9	0.32910	0.32703	0.32562	0.32310	0.32117	0.31895	0.31310	0.30502	0.29584	0.29006	0.28820	0.28820	0.29132	0.29465	0.29724	0.29932	0.30176	0.30317	0.30473	0.30606	0.30725
10	2.31252	2.29639	2.18883	2.22648	2.16732	2.35555	2.32866	2.39857	2.67285	3.64626	3.31283	1.67792	1.32836	1.31222	1.53272	1.54885	1.41440	1.60263	1.61339	1.55961	1.42516
