State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	2.71057	7.21333	2.15027	1.24068	1.97169	6.61202	3.88391	0.51688
2	1.17118	1.05291	1.72997	1.40359	1.99810	1.96526	1.94343	0.34285
3	0.63974	65.63696	9.21339	1.56022	2.72308	58.18875	24.20451	0.28480
4	0.58939	1.32970	2.18078	2.24985	1.94688	2.12443	10.84645	0.14173
5	2.48580	0.08306	0.88945	2.31021	0.59030	0.40864	1.15273	0.15163
6	4.02745	0.30637	1.25052	2.24269	1.02482	0.40995	1.07159	0.24779
7	6.96760	0.62949	4.01986	2.15972	3.44992	0.43429	0.65597	0.33033
8	39.41697	0.54397	0.93138	1.00758	1.09722	0.55248	0.97342	0.84366
9	41.42068	0.16464	0.28904	0.54488	0.36987	0.28821	0.33777	1.46172
10	0.57063	4.12295	1.79727	0.98323	2.14495	3.31293	2.11574	0.79818
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
