State (Emission order)	CTCF	H2AFZ	H3K4me3	H3K4me2	H3K9ac	H3K27ac	H3K4me1	H4K20me1	H3K79me2	H3K36me3
1	0.045698631637776745	0.17667984393966274	0.028888000901968847	0.1537416194696524	0.07762953176988029	0.17310394812542484	0.27966488952912105	0.07341350878518738	0.006590939780863273	0.015203821554757645
2	0.08586185065946439	0.24146388984214207	0.10584482406145043	0.4842973529698744	0.6972113392627263	0.9635198040419523	0.6354408797398133	0.11247716580979572	0.016478251734680784	0.02481447939674357
3	0.16499898548915076	0.8460898836959672	0.834621702912041	0.8171317261212155	0.7402367825367391	0.5475651611706925	0.088481695776235	0.039116526148807215	0.15490590653451894	0.004161387125481774
4	0.04939764607804079	0.023249724580565467	0.28998804644569215	0.6836618875112531	0.3818245090971886	0.4028887330942852	0.37103660995502213	0.2965168098425106	0.8159518461415298	0.055107874734274365
5	0.019433072945601912	9.697202343446595E-4	0.0022690857198061996	0.008507618857559433	0.004777788366436501	0.007029260531341862	0.03199115988847829	0.360687006985742	0.8436667929886442	0.04193448286654028
6	0.019247133393485286	0.0011623114725535673	0.0019777032523583486	0.002900573822500402	0.004585471042317547	0.004019837136328287	0.012610526082730795	0.12264734479573891	0.27117951396507484	0.042730305726546146
7	0.020746006182846475	3.3924551520927857E-4	0.0017282827122946467	4.840061902943885E-4	0.00390533144413149	0.0018579877453864446	0.003949335586702695	0.07286376293186211	0.019145954707840356	0.12061715590661108
8	0.013168881709071972	0.00598053202147557	0.001596259991035924	4.306832574942024E-4	0.0027464075934721457	1.1704978848114566E-9	0.002291462815232629	0.031411576931744775	8.303524532608133E-4	0.004075114086127004
9	0.008518841370622485	0.0018920606429852285	6.598430137537229E-4	1.9552581343912443E-4	0.0011879259997320292	9.397083062749437E-5	1.773125017225725E-4	0.016696294706055062	4.2681513309666094E-5	3.2984639682360985E-4
10	0.8337949453836857	0.11084380735072107	0.011763246312343484	0.036084643825849916	0.015030098967809956	0.002921452041602097	0.02946166478860301	0.05650221875855828	0.0027361897565324053	0.009031272651434922
